Date,temp,humidity
2017-01,6.6,66
2017-02,6.8,61
2017-03,9.8,60
2017-04,15.7,64
2017-05,19.5,64
2017-06,22,77
2017-07,29.2,76
2017-08,28.7,74
2017-09,24,71
2017-10,19.3,72
2017-11,12.6,64
2017-12,7.2,61
2018-01,4.9,67
2018-02,5.5,60
2018-03,11.4,72
2018-04,15.9,68
2018-05,19.1,76
2018-06,22.3,79
2018-07,27.3,81
2018-08,28.8,78
2018-09,23.9,75
2018-10,17.9,64
2018-11,13.9,65
2018-12,8.7,68
2019-01,6.4,64
2019-02,7.4,63
2019-03,10.8,63
2019-04,14.7,68
2019-05,20,56
2019-06,21.5,80
2019-07,25.2,85
2019-08,27.7,77
2019-09,24,84
2019-10,19.7,69
2019-11,14.6,65
2019-12,9.7,64
2020-01,8.9,66
2020-02,9.1,66
2020-03,11.5,63
2020-04,13.2,56
2020-05,18.8,74
2020-06,22.4,83
2020-07,24.2,85
2020-08,29.4,74
2020-09,22.9,76
2020-10,18.4,61
2020-11,14.1,65
2020-12,7.7,61
2021-01,6.8,65
2021-02,9.4,62
2021-03,12.5,68
2021-04,15.4,63
2021-05,19,68
2021-06,23.4,75
2021-07,27.8,78
2021-08,27.3,79
2021-09,24.9,84
2021-10,20.1,73
2021-11,14,66
2021-12,8.9,67
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
